school_name,closed_year,school_level,sigungu_name,utilization_status,building_area_sqm,site_area_sqm,road_address,lot_address,office_name,data_asof
창문초,2000,초등학교,화성시,대부,1432,13721,경기도 화성시 남양읍 남양로1405번길 9,경기도 화성시 남양읍 수화리 236,화성오산교육지원청,2025-12-01
마산초어도분교장,1994,초등학교,화성시,대부,0,3534,경기도 화성시 송산면 어섬길259번길 64,경기도 화성시 송산면 고포리 826-1,화성오산교육지원청,2025-12-01
정문초,1994,초등학교,화성시,대부,1193,11232,경기도 화성시 정남면 계향북길 104,경기도 화성시 정남면 계향리 411,화성오산교육지원청,2025-12-01
비봉초유포분교장,1992,초등학교,화성시,대부,267,4469,경기도 화성시 비봉면 남이로당곡말길 34-11,경기도 화성시 비봉면 유포리 307,화성오산교육지원청,2025-12-01
북내초운암분교장,2025,초등학교,여주시,미활용,858,13529,경기도 여주시 북내면 당전로 284,경기도 여주시 북내면 중암리 634-1,여주교육지원청,2025-12-01
점동초안평분교장,2009,초등학교,여주시,미활용,712,7290,경기도 여주시 점동면 안평로 296,경기도 여주시 점동면 장안리 478,여주교육지원청,2025-12-01
북내초주암분교장,2017,초등학교,여주시,미활용,1124,12338,경기도 여주시 북내면 주암길 14,경기도 여주시 북내면 주암리 173,여주교육지원청,2025-12-01
점동초뇌곡분교장,2012,초등학교,여주시,대부,1110,10115,경기도 여주시 점동면 성주로 584,경기도 여주시 점동면 뇌곡리 172-1,여주교육지원청,2025-12-01
강천초걸은분교장,2002,초등학교,여주시,미활용,846,12256,경기도 여주시 강천면 마감로 117-14,경기도 여주시 강천면 걸은리 625-1,여주교육지원청,2025-12-01
공제초,1996,초등학교,안성시,미활용,1111,18591,경기도 안성시 공도읍 웅교3길 27,경기도 안성시 공도읍 불당리 63-2,안성교육지원청,2025-12-01
장암초금산분교장,1995,초등학교,안성시,대부,696,9371,경기도 안성시 일죽면 일생로 275,경기도 안성시 일죽면 금산리 232-1,안성교육지원청,2025-12-01
양성초방축분교장,1994,초등학교,안성시,대부,721,5636,경기도 안성시 양성면 한내로 499,경기도 안성시 양성면 방축리 187-1,안성교육지원청,2025-12-01
고삼초고동분교장,1994,초등학교,안성시,대부,0,10635,경기도 안성시 고삼면 사동길 32,경기도 안성시 고삼면 쌍지리 769-2,안성교육지원청,2025-12-01
기흥중,2019,중학교,용인시,자체활용,6495,12972,경기도 용인시 기흥구 신갈로138번길 23,경기도 용인시 기흥구 신갈동 2-3,용인교육지원청,2025-12-01
남곡초 남곡분교장,2024,초등학교,용인시,자체활용,2068,17634,경기도 용인시 처인구 남사읍 남산로 7,경기도 용인시 처인구 남사읍 아곡리 506,용인교육지원청,2025-12-01
어정초동진원분교장,1999,초등학교,용인시,대부,0,2387,경기도 용인시 기흥구 언동로 125번길 9-4,경기도 용인시 기흥구 중동 669,용인교육지원청,2025-12-01
남사초서촌분교장,1991,초등학교,용인시,대부,0,10169,경기도 용인시 처인구 남사읍 통삼로 282-19,경기도 용인시 처인구 남사읍 통삼리 238-2,용인교육지원청,2025-12-01
진가초모가분교장,2010,초등학교,이천시,미활용,13,19565,경기도 이천시 모가면 사실로 1035,경기도 이천시 모가면 신갈리 165-2,이천교육지원청,2025-12-01
부발초백록분교장,2017,초등학교,이천시,자체활용,1756,14527,경기도 이천시 부발읍 두무재로79번길 21-22,경기도 이천시 부발읍 고백리 42-3,이천교육지원청,2025-12-01
율면초월포분교장,1994,초등학교,이천시,대부,403,9953,경기도 이천시 율면 임오산로362번길 74-1,경기도 이천시 율면 월포리 610-1,이천교육지원청,2025-12-01
청운초갈운분교장,2000,초등학교,양평군,미활용,799,8206,경기도 양평군 청운면 경강로 4867,경기도 양평군 청운면 갈운리 472,양평교육지원청,2025-12-01
신산초영장분교장,1994,초등학교,파주시,미활용,449,7473,경기도 파주시 광탄면 쇠장이길 21,경기도 파주시 광탄면 영장리 256-1,파주교육지원청,2025-12-01
구.교하중,2006,중학교,파주시,자체활용,2231,20297,경기도 파주시 교하로1290번길 38,경기도 파주시 다율동 56-8,파주교육지원청,2025-12-01
법원초,2019,초등학교,파주시,대부,2326,13253,경기도 파주시 법원읍 술이홀로 970-9,경기도 파주시 법원읍 법원리 500,파주교육지원청,2025-12-01
금곡초,1998,초등학교,파주시,대부,1017,9414,경기도 파주시 법원읍 술이홀로 1315,경기도 파주시 법원읍 금곡리 336-5,파주교육지원청,2025-12-01
용운초,1996,초등학교,파주시,대부,1343,13171,경기도 파주시 적성면 윗배우니길 68,경기도 파주시 적성면 객현리 385-2,파주교육지원청,2025-12-01
마석초녹촌분교장,2019,초등학교,남양주시,대부,431,7392,경기도 남양주시 화도읍 가구단지6길 63-12,경기도 남양주시 화도읍 녹촌리 272,구리남양주교육지원청,2025-12-01
남양주송촌초시우분교장,1992,초등학교,남양주시,대부,146,3738,경기도 남양주시 조안면 고래산로 413-77,경기도 남양주시 조안면 시우리 122-20,구리남양주교육지원청,2025-12-01
구.삼송초,2014,초등학교,고양시,대부,0,4679,,경기도 고양시 덕양구 삼송동 62,고양교육지원청,2025-12-01
구.고양중,2013,중학교,고양시,자체활용,4982,19545,경기도 고양시 덕양구 삼송로 173,경기도 고양시 덕양구 삼송동 45,고양교육지원청,2025-12-01
백마초장항분교장,2011,초등학교,고양시,자체활용,497,4355,경기도 고양시 일산동구 장대길 64-27,경기도 고양시 일산동구 장항동 580-20,고양교육지원청,2025-12-01
구.천보초,2025,초등학교,양주시,대부,5689,12961,,경기도 양주시 옥정동 1014-8,동두천양주교육지원청,2025-12-01
유양초천성분교장,1991,초등학교,양주시,미활용,0,2030,경기도 양주시 부흥로 1185번길15,경기도 양주시 유양동 725,동두천양주교육지원청,2025-12-01
가납초현암분교장,1991,초등학교,양주시,미활용,0,6809,,경기도 양주시 광적면 비암리 231-4,동두천양주교육지원청,2025-12-01
동두천초걸산분교장,1999,초등학교,동두천시,미활용,0,2175,,경기도 동두천시 걸산동 50-8,동두천양주교육지원청,2025-12-01
구.고산초,2024,초등학교,의정부시,미활용,2195,9969,경기도 의정부시 고산로 121,경기도 의정부시 고산동 464,의정부교육지원청,2025-12-01
방초초,2023,초등학교,안성시,대부,1744,11319,경기도 안성시 일죽면 사실로 86,경기도 안성시 일죽면 방초리 459-2,안성교육지원청,2025-12-01
구.백성초,2018,초등학교,안성시,자체활용,8469,24820,경기도 안성시 백성2길 59,경기도 안성시 금산동 119,안성교육지원청,2025-12-01
원곡초성은분교장,2018,초등학교,안성시,대부,640,8739,경기도 안성시 원곡면 통심길 92,경기도 안성시 원곡면 성은리 35-1,안성교육지원청,2025-12-01
장암초,1998,초등학교,안성시,대부,983,9129,경기도 안성시 일죽면 장암초교길 8,경기도 안성시 일죽면 장암리 204,안성교육지원청,2025-12-01
