year,dong_code,sido_name,sigungu_name,dong_name,population
2019,1156055000,서울특별시,영등포구,당산제1동,20989
2019,1156056000,서울특별시,영등포구,당산제2동,35883
2019,1156058500,서울특별시,영등포구,도림동,18636
2019,1156060500,서울특별시,영등포구,문래동,31735
2019,1156061000,서울특별시,영등포구,양평제1동,17900
2019,1156062000,서울특별시,영등포구,양평제2동,22541
2019,1156063000,서울특별시,영등포구,신길제1동,17664
2019,1156065000,서울특별시,영등포구,신길제3동,17335
2019,1156066000,서울특별시,영등포구,신길제4동,8977
2019,1156067000,서울특별시,영등포구,신길제5동,9055
2019,1156068000,서울특별시,영등포구,신길제6동,18198
2019,1156069000,서울특별시,영등포구,신길제7동,16855
2019,1156070000,서울특별시,영등포구,대림제1동,12885
2019,1156071000,서울특별시,영등포구,대림제2동,12673
2019,1156072000,서울특별시,영등포구,대림제3동,23730
2019,1159051000,서울특별시,동작구,노량진제1동,32202
2019,1159052000,서울특별시,동작구,노량진제2동,12784
2019,1159053000,서울특별시,동작구,상도제1동,45819
2019,1159054000,서울특별시,동작구,상도제2동,28872
2019,1159055000,서울특별시,동작구,상도제3동,25626
2019,1159056000,서울특별시,동작구,상도제4동,29468
2019,1159060500,서울특별시,동작구,흑석동,32777
2019,1159062000,서울특별시,동작구,사당제1동,23363
2019,1159063000,서울특별시,동작구,사당제2동,27796
2019,1159064000,서울특별시,동작구,사당제3동,25744
2019,1159065000,서울특별시,동작구,사당제4동,14714
2019,1159065100,서울특별시,동작구,사당제5동,12760
2019,1159066000,서울특별시,동작구,대방동,39725
2019,1159067000,서울특별시,동작구,신대방제1동,23894
2019,1159068000,서울특별시,동작구,신대방제2동,20419
2019,1162052500,서울특별시,관악구,보라매동,25147
2019,1162054500,서울특별시,관악구,청림동,16144
2019,1162056500,서울특별시,관악구,성현동,30968
2019,1162057500,서울특별시,관악구,행운동,29526
2019,1162058500,서울특별시,관악구,낙성대동,16876
2019,1162059500,서울특별시,관악구,청룡동,33075
