school_code,seoutguse_gubun,hr_operation_krw,student_welfare_krw,edu_activity_support_krw,general_operation_krw,facility_expansion_krw,financial_activity_krw,fiscal_year
S090001658,예산세출,9450000,383689000,66396000,257480000,0,0,2025
S090001660,예산세출,7360000,428681000,38677000,350832000,0,0,2025
S090001661,예산세출,12650000,279593000,52434000,261666000,0,3309000,2025
S090001662,예산세출,6410000,797331000,67730000,343846000,0,30000,2025
S090001663,예산세출,5360000,824795000,61320000,422015000,0,0,2025
S090001782,예산세출,10780000,441143000,33193000,311494000,0,0,2025
S090001784,예산세출,7200000,273358000,50763000,302507000,0,0,2025
S090001785,예산세출,8070000,381043000,65710000,289242000,0,0,2025
S090001786,,0,0,0,0,0,0,2025
S090001787,예산세출,4390000,104647000,25270000,217707000,0,0,2025
S090001789,예산세출,10940000,98591000,52507000,291593000,4500000,0,2025
S090001791,예산세출,5870000,113672000,65391000,311104000,0,0,2025
S090001793,예산세출,6360000,363155000,32514000,251741000,0,0,2025
S090001795,예산세출,3300000,145910000,41975000,251327000,38098000,0,2025
S090001796,예산세출,6160000,93698000,13378000,197558000,0,0,2025
S090001797,예산세출,12338000,104556000,52250000,283010000,0,0,2025
S090001798,예산세출,3075000,96769000,27439000,210555000,0,0,2025
S090001799,예산세출,7955000,162958000,34375000,184233000,0,100000,2025
S090001800,예산세출,4636000,130124000,19936000,239114000,0,0,2025
S090001801,예산세출,4030000,58160000,22699000,242636000,0,0,2025
S090001802,예산세출,6092000,261204000,54357000,254666000,0,0,2025
S090001803,예산세출,1640000,77433000,22710000,243218000,0,247000,2025
S090001804,예산세출,13230000,59264000,15970000,261022000,9000000,0,2025
S090001806,예산세출,6800000,553422000,31947000,270248000,17165000,0,2025
S090001807,예산세출,11728000,688445000,94683000,311879000,3000000,0,2025
S090001808,예산세출,8550000,258021000,45799000,279689000,0,0,2025
S090001809,예산세출,1430000,70797000,15890000,249128000,0,0,2025
S090001810,예산세출,4670000,34962000,24178000,209499000,13000000,0,2025
S090001812,예산세출,6700000,336188000,45328000,280782000,0,0,2025
S090001813,예산세출,5310000,307436000,21766000,250239000,9000000,0,2025
S090001814,예산세출,6690000,171916000,97948000,360562000,0,0,2025
S090001815,예산세출,13950000,174630000,272079000,418871000,0,0,2025
S090001816,예산세출,12030000,495777000,52755000,247550000,15000000,0,2025
S090001817,예산세출,10240000,108734000,22266000,206621000,0,0,2025
S090001819,예산세출,7530000,338490000,36712000,288109000,0,0,2025
S090001820,예산세출,5800000,541454000,26316000,305198000,0,0,2025
S090001821,예산세출,3460000,91394000,53750000,185672000,0,0,2025
S090001914,예산세출,9700000,1059420000,68271000,376285000,0,0,2025
S090001915,예산세출,11430000,643206000,41426000,352741000,0,100000,2025
S090001916,예산세출,7230000,292633000,52791000,396355000,0,100000,2025
S090001918,예산세출,6780000,358210000,36171000,253784000,0,1182000,2025
S090001944,예산세출,4500000,990226000,79586000,328887000,0,0,2025
S090001945,예산세출,4740000,491335000,52982000,304563000,0,0,2025
S090001946,예산세출,3700000,757676000,81411000,302464000,0,0,2025
S090001953,예산세출,10085000,655365000,60783000,349090000,0,0,2025
S090001954,예산세출,8640000,612601000,40570000,359554000,0,0,2025
S090001956,예산세출,2430000,297761000,27177000,287847000,0,0,2025
S090001957,예산세출,9070000,564020000,69828000,270584000,0,0,2025
S090001959,예산세출,5940000,666861000,45063000,305415000,0,0,2025
S090001960,예산세출,6610000,580889000,36523000,311548000,0,0,2025
S090001961,예산세출,9930000,348427000,68860000,176815000,0,0,2025
S090001962,예산세출,23240000,706377000,76707000,263545000,0,0,2025
S090001963,예산세출,4300000,463407000,147770000,298975000,0,18000,2025
S090001964,예산세출,6200000,547993000,35024000,287561000,204178000,1100000,2025
S090001966,예산세출,1620000,360635000,33014000,231396000,25000000,200000,2025
S090001967,예산세출,1320000,450522000,35365000,313341000,92970000,0,2025
S090001968,예산세출,4300000,625157000,44472000,329084000,0,0,2025
S090001969,예산세출,6350000,716967000,38140000,300524000,0,0,2025
S090001970,예산세출,4832000,904810000,39145000,408529000,0,1200000,2025
S090001971,예산세출,9800000,332764000,57591000,290308000,0,0,2025
S090001972,예산세출,15759000,794588000,78572000,285427000,0,0,2025
S090001973,예산세출,4568000,557687000,28280000,316584000,0,0,2025
S090001974,예산세출,3150000,507771000,33022000,327228000,0,0,2025
S090001975,예산세출,12350000,456559000,28740000,291748000,0,0,2025
S090001976,예산세출,10810000,702452000,60320000,272733000,0,0,2025
S090001977,예산세출,7500000,290315000,40927000,208188000,0,0,2025
S090001978,예산세출,8020000,747051000,33348000,317481000,0,200000,2025
S090001979,예산세출,3790000,324816000,17118000,273997000,0,0,2025
S090001980,예산세출,1200000,570350000,71510000,341327000,0,0,2025
S090001987,예산세출,5280000,512257000,58604000,312340000,0,0,2025
S090001988,예산세출,10915000,700758000,55104000,350599000,0,0,2025
S090001989,예산세출,2500000,529335000,43610000,337802000,0,1800000,2025
S090001990,예산세출,9800000,799258000,53784000,413130000,0,0,2025
S090001991,예산세출,14800000,929216000,76534000,459358000,0,0,2025
S090001992,예산세출,6840000,461649000,26566000,324555000,0,0,2025
S090002001,예산세출,12030000,638775000,53134000,326583000,0,0,2025
S090002002,예산세출,9580000,893123000,61331000,284004000,0,0,2025
S090002003,예산세출,2700000,209132000,15030000,276463000,0,0,2025
S090002007,예산세출,5940000,669751000,36246000,340678000,0,0,2025
S090002011,예산세출,2200000,442730000,40572000,301143000,30000000,0,2025
S090002015,예산세출,3270000,682132000,66518000,337674000,26270000,0,2025
S090002016,예산세출,7700000,668293000,55675000,325811000,0,0,2025
S090002017,예산세출,4160000,338598000,44137000,279050000,0,0,2025
S090002022,예산세출,6180000,607030000,42435000,340011000,0,1000000,2025
S090002026,예산세출,7929000,714067000,60562000,344134000,0,0,2025
S090002027,예산세출,11560000,668739000,30666000,298180000,0,0,2025
S090002038,예산세출,7150000,894209000,125934000,341137000,0,0,2025
S090002039,예산세출,6032000,873985000,54864000,346593000,0,0,2025
S090002210,예산세출,9000000,448286000,40598000,326347000,0,0,2025
S090002211,예산세출,7800000,627909000,62170000,338741000,0,0,2025
S090002214,예산세출,7030000,278056000,42372000,309279000,0,0,2025
S090002215,예산세출,9120000,692059000,64810000,359739000,0,0,2025
S090002216,예산세출,14700000,1131935000,84846000,357153000,0,0,2025
S090002217,예산세출,11940000,1287752000,97434000,319373000,0,0,2025
S090002218,예산세출,9690000,638503000,41234000,345418000,0,0,2025
S090002219,예산세출,6740000,592364000,66496000,340683000,0,0,2025
S090002221,예산세출,5540000,651800000,55859000,375689000,0,0,2025
